                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.8887,                 1.4335,                 1.3668,                0.59228,                0.43929,                  0.491,                0.17528,                 2.2997,                 1.7074,                 1.5919,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8694,                 1.4175,                 1.3955,                0.59353,                0.42241,                0.45676,                0.14336,                 2.3413,                 1.6966,                 1.6397,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8279,                 1.3657,                 1.3677,                0.57746,                0.44643,                0.47544,                0.14923,                 2.3941,                 1.6732,                 1.6721,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8564,                 1.4071,                 1.3799,                0.50405,                0.44464,                0.42576,                 0.1223,                 2.4393,                   1.83,                 1.7527,               0.001307,               0.001307,               0.001307
                     37,                 1.8457,                 1.3913,                 1.3536,                0.55935,                0.48055,                0.49814,                0.17455,                 2.2731,                 1.6887,                 1.6064,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8172,                 1.3564,                 1.3172,                0.56409,                  0.475,                0.46198,                0.14446,                 2.3555,                 1.7102,                 1.6668,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8585,                 1.3533,                 1.3303,                0.61883,                0.48036,                0.51914,                0.17525,                 2.2952,                 1.6059,                 1.5913,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8005,                 1.3303,                  1.364,                0.59928,                0.51786,                 0.5262,                0.17321,                  2.376,                 1.5754,                 1.6306,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7796,                 1.2903,                 1.3202,                0.59019,                0.44464,                0.45847,                0.15655,                 2.3822,                 1.7501,                 1.6423,               0.001208,               0.001208,               0.001208
                     42,                 1.8148,                 1.2778,                 1.3232,                0.60187,                0.51429,                 0.5231,                 0.1688,                 2.3471,                 1.7241,                 1.6578,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7843,                 1.2874,                 1.3507,                0.52224,                  0.475,                0.45345,                0.13802,                 2.4298,                 1.8302,                 1.6952,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.789,                 1.3132,                 1.3303,                0.51055,                0.44286,                0.44928,                0.14882,                 2.3761,                 1.7856,                  1.649,              0.0011486,              0.0011486,              0.0011486
